name,mle,ll,ul,method
P_0,2.5326530612244884,1.3163265306122436,5.3958540611045045,Surface
alpha,0.1935659566642284,0.1375908693020542,0.26530612244898044,Surface
tau,0.14151329226351703,0.10204081632652955,0.24550233393952703,Surface
zeta,1.169812563174688,0.922448979591837,1.4448374729022686,Surface
Re_0,5.059439335730525,3.9895918367346948,6.248922070302313,Surface
zeta,1.0054054054054058,0.7955955955955955,1.2536536536536547,MCAP
P_0,2.963663663663691,1.695895895895911,5.1859859859860356,MCAP
alpha,0.228299728299728,0.17559396130824656,0.3386141243284102,MCAP
tau,0.17739167739167755,0.09845559845559852,0.31173009744438346,MCAP
Re_0,4.34837837837838,3.44095095095095,5.422052052052056,MCAP
zeta,1.1510204081632651,0.922448979591837,1.4122448979591842,Profile
P_0,2.5326530612244884,1.3163265306122436,4.965306122448998,Profile
alpha,0.20408163265306062,0.1428571428571422,0.28571428571428603,Profile
tau,0.1632653061224492,0.10204081632652955,0.255102040816327,Profile
Re_0,4.978163265306121,3.9895918367346948,6.107959183673471,Profile
