par,step,time
all,LS_ml,0.9568166666666665
all,LS_ll,3.3898666666666637
all,GS_ml,34.68445
all,GS_ll,44.35371666666668
zeta,pl_ml,101.88080000000004
zeta,pl_ll,153.00318333333334
P_0,pl_ml,121.56276666666666
P_0,pl_ll,161.92136666666667
alpha,pl_ml,120.79229999999998
alpha,pl_ll,164.49871666666664
tau,pl_ml,332.01039999999995
tau,pl_ll,216.54836666666645
phi,pl_ml,192.40191666666664
phi,pl_ll,200.5616166666668
