par,step,time
all,LS_ml,9.802333333333324
all,LS_ll,73.58883333333337
all,GS_ml,386.0144166666667
all,GS_ll,1145.2019166666666
zeta,pl_ml,918.3968333333333
zeta,pl_ll,3014.4459666666667
P_0,pl_ml,626.1806
P_0,pl_ll,2289.6173166666663
alpha,pl_ml,620.5946666666667
alpha,pl_ll,2294.248216666667
tau,pl_ml,625.0514999999999
tau,pl_ll,2255.2099166666667
