name,value,type
zeta,1.13550799355028,mle
P_0,2.6491226637369114,mle
alpha,0.033459422355649554,mle
nu,0.05536363636363637,mle
upsilon,0.19096541131451433,mle
tau,0.13634350037063406,mle
