par,step,time
all,LS_ml,9.669833333333326
all,LS_ll,81.68616666666667
all,GS_ml,420.5565
all,GS_ll,1222.2355666666665
zeta,pl_ml,608.1615833333333
zeta,pl_ll,1931.9100166666665
P_0,pl_ml,732.992
P_0,pl_ll,2513.08695
alpha,pl_ml,1658.6513333333335
alpha,pl_ll,6038.531833333333
tau,pl_ml,1326.4516666666668
tau,pl_ll,4033.6125
nu,pl_ml,1406.2223166666668
nu,pl_ll,4497.036716666667
upsilon,pl_ml,1350.28025
upsilon,pl_ll,4081.8242833333334
