zeta,P_0,tau,nu,upsilon,alpha
1.1578798851928933,2.409656970052843,0.15628042114941265,0.06082397501778738,0.2448979591836735,0.053978162880141345
1.1461640967363773,2.182395249502189,0.14511908827241363,0.08351511296785465,0.23542687190703016,0.057142857142857155
1.0785786211067654,3.39622641509434,0.16601420865871666,0.05240471560959326,0.2865558164011536,0.05872586313809749
1.1514662086502874,3.875911843912823,0.13635599501124335,0.07607505609365879,0.18367346938775508,0.04687840569662005
1.2777889633274464,2.5865503648541326,0.16365623409642877,0.04081632653061224,0.14603930388570013,0.042554413598287266
1.1935168617779375,2.066504660309422,0.11927150308414763,0.049544970241632916,0.24616211986861658,0.05079538687235746
1.1508192991466106,1.8867924528301887,0.15566322429447427,0.0731341440655687,0.1710623115367209,0.05384698370284313
1.3290529864814133,1.7166113944263188,0.1497272794245461,0.05109088473985259,0.19153079180143343,0.053061224489795916
1.335722077450566,1.8867924528301887,0.1329462958933322,0.08670705496910318,0.18823293494910734,0.04121981188194635
1.2492453733433102,2.386131923625458,0.14936300266264596,0.1109224963811475,0.13617015855300618,0.0489795918367347
